PSM,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,TotalUnits,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
72098.5,1.536896235,3.2,12.5,0.2,0.5,Bang Na Nuea,Bang Na,566,9,1,1,1,0,1,1,0,0
35043,0.7,2.8,11,1.6,1.3,Bang Na Nuea,Bang Na,1250,11,1,1,1,0,0,1,0,0
57576,0.6,4.5,12.5,1.3,1.1,Bang Na,Bang Na,147,4,0,1,1,0,1,1,0,0
53214,1,1.8,15.3,2.7,2.7,Bang Na Tai,Bang Na,104,7,0,1,1,1,1,1,0,0
63281,0.8,0.4,15.9,1.726724437,1.876157941,Bang Na Nuea,Bang Na,180,10,1,1,0,0,0,1,0,0
44168.5,0.8,0.4,15.9,1.726724437,1.876157941,Bang Na Nuea,Bang Na,1745,7,0,1,1,0,1,1,0,0
72284,0.6,4.3,11.8,1.9,1.7,Bang Na,Bang Na,425,6,1,1,1,0,0,0,0,0
57393,1,4.1,13,1.2,1,Bang Na Tai,Bang Na,182,7,1,1,1,0,0,0,1,0
47619,0.8,3.8,12.5,0.4,0.3,Bang Na,Bang Na,643,12,1,1,1,1,1,1,0,0
94350.42857,0.1,1.3,15.1,2.9,1.876157941,Bang Na Nuea,Bang Na,1172,14,0,1,1,0,1,1,0,0
60382.75,0.9,2.7,12.2,0.7,0.8,Bang Na,Bang Na,840,11,1,1,1,0,1,1,0,0
74177,0.4,1.5,14.9,2.9,3,Bang Na Nuea,Bang Na,268,8,0,1,1,0,1,1,0,0
56184.8,1.536896235,2.9,14,1.4,1.3,Krung Thep Maha Nakhon,Bang Na,1028,12,0,1,1,0,0,1,0,0
64815,0.7,1.5,15.6,3,3,Bang Na Tai,Bang Na,60,10,1,1,0,0,1,1,0,0
62426,0.5,1.9,16.1,1.726724437,1.876157941,Bang Na,Bang Na,157,7,0,1,1,0,1,1,0,0
133604.75,0.2,0.9,16,1.726724437,1.876157941,Bang Na Tai,Bang Na,1162,4,0,1,1,0,0,0,1,0
32500,0.4,1.5,14.8,2.6,2.8,Bang Na Nuea,Bang Na,469,20,0,1,0,0,0,1,0,0
53549.25,0.2,1.3,15.1,2.8,1.876157941,Bang Na Nuea,Bang Na,966,16,0,1,1,0,0,1,1,0
55068.5,1,3.7,17.3,1.5,1,Bang Na Tai,Bang Na,469.7599049,9,1,1,1,0,1,1,0,0
38021.75,0.7,4.2,11.7,1.9,1.7,Suan Luang,Bang Na,1100,14,0,1,1,0,1,1,1,0
70275,0.9,1.5,15.7,1.7,0.7,Bang O,Bang Phlat,193,5,0,1,1,0,1,1,0,0
55385,0.3,1.3,16.32907429,0.6,1.5,Bang Bumru,Bang Phlat,420,15,0,1,0,0,1,1,0,0
74425,0.9,1.3,15.6,1.8,0.9,Bang O,Bang Phlat,406,7,0,1,1,0,1,1,0,0
72857.5,0.2,1.1,16.32907429,0.7,1.6,Bang Yi Khan,Bang Phlat,247,11,1,1,1,0,0,1,1,0
57987,0.6,1.7,19.5,1.2,1.5,Bang Bumru,Bang Phlat,79,7,0,1,1,0,1,1,0,0
56333,0.6,1.5,16.32907429,0.3,1.2,Bang Bumru,Bang Phlat,580,18,1,1,1,0,1,1,1,0
98445.5,0.3,1.7,16.6,1.2,0.5,Bang O,Bang Phlat,1412,7,0,1,1,0,1,1,0,0
76899.33333,0.7,0.6,16.32907429,1.7,2.3,Bang Yi Khan,Bang Phlat,446,5,1,1,1,1,0,0,0,0
98624.33333,0.1,0.9,20,0.9,1.6,Bang Phlat,Bang Phlat,1784,5,1,1,1,0,0,0,0,0
95506,0.4,0.8,17.7,0.4,1.4,Bang O,Bang Phlat,123,12,1,1,1,1,0,1,0,0
47286.25,0.6,1.7,16,1.5,0.5,Bang O,Bang Phlat,2018,14,0,1,1,0,0,1,1,0
71478.6,1.536896235,1.8,16.32907429,0.3,0.5,Bang Bumru,Bang Phlat,2707,13,0,1,1,0,1,1,1,0
78857,0.1,1.1,17.6,0.5,1.2,Bang O,Bang Phlat,635,5,0,1,1,0,1,1,0,0
75836.5,1,0.4,16.32907429,1.7,2.5,Bang Yi Khan,Bang Phlat,506,7,0,1,0,0,0,1,0,0
110345,0.8,0.6,16.32907429,1.2,2.1,Bang Yi Khan,Bang Phlat,588,2,0,1,1,0,1,1,0,0
55556,0.2,3.3,14,2.3,1.1,Khwaeng Bang Yi Khan,Khet Bang Phlat,170,31,0,0,0,0,1,1,0,0
89440,0.1,1.1,17.5,0.6,1.1,Bang O,Bang Phlat,237,5,0,1,1,0,1,1,0,0
68286,0.2,1.9,16.4,1.2,0.3,Bang O,Bang Phlat,1036,2,0,0,0,1,1,1,0,0
81308,0.3,1.1,16.32907429,0.7,1.6,Bang Yi Khan,Bang Phlat,76,17,0,1,1,0,0,1,0,0
94260,0.3,0.7,18.8,0.8,2.4,Bang Phlat,Bang Phlat,323,5,0,1,1,0,0,0,1,0
99322,0.3,0.9,19.9,1,1.6,Bang Yi Khan,Bang Phlat,493,6,0,1,1,1,0,0,0,0
89247,1.536896235,0.3,16.32907429,2,1.7,Bang Yi Khan,Bang Phlat,121,32,0,1,1,0,1,1,0,0
75000,0.3,0.8,19.2,1.3,1.9,Bang Bamru,Bang Phlat,514,2,0,0,1,0,0,0,0,0
78351.5,0.8,2.4,16.32907429,1.1,0.2,Bang Bumru,Bang Phlat,649,4,0,1,1,0,1,1,0,0
104044.5,0.1,1,16.32907429,0.8,1.6,Bang Yi Khan,Bang Phlat,803,7,1,1,1,0,0,0,0,0
88077,0.6,1.1,16.32907429,0.7,1.6,Bang Yi Khan,Bang Phlat,964,6,0,1,1,1,0,0,0,0
138608.8571,0.4,0.7,16.32907429,0.2,0.1,Silom,Bang Rak,166,23,0,1,0,0,1,1,0,0
454457.7,0.1,0.3,16.32907429,0.9,0.6,Silom,Bang Rak,209,8,1,1,1,1,0,0,0,0
235407.75,0.1,0.3,16.32907429,0.7,0.3,Silom,Bang Rak,192,8,1,1,1,0,1,1,0,0
85294,0.2,0.4,16.32907429,0.8,0.5,Suriya Wong,Bang Rak,930,38,0,1,0,0,1,1,0,0
128313.5,0.4,0.9,16.32907429,1,0.7,Maha Phruttharam,Bang Rak,465,14,0,1,0,0,1,1,0,0
128947,0.4,1,16.32907429,1.1,0.7,Maha Phruttharam,Bang Rak,196,12,0,1,1,0,1,1,0,0
135610,0.8,1.3,16.32907429,1.3,0.7,Si Phraya,Bang Rak,277,5,0,1,0,0,0,1,0,0
108387,0.3,0.4,16.32907429,0.5,0.3,Silom,Bang Rak,117,16,0,1,0,0,0,1,0,0
221208.3333,0.5,0.8,16.32907429,0.8,0.5,Suriya Wong,Bang Rak,161,12,0,1,1,0,1,1,0,0
234912,0.5,1,16.32907429,0.5,0.3,Silom,Bang Rak,132,14,0,1,1,0,1,1,0,0
171019.3333,0.2,0.4,16.32907429,0.7,0.4,Silom,Bang Rak,137,18,0,1,0,0,1,1,0,0
167575.6,0.7,1.5,16.32907429,0.7,0.6,Khwaeng Bang Rak,Bang Rak,211,7,0,1,1,0,1,1,0,0
106667,0.3,0.4,16.32907429,0.5,0.3,Silom,Bang Rak,129,22,0,1,0,0,0,1,0,0
138636,0.2,0.3,16.32907429,0.6,0.4,Silom,Bang Rak,95,11,1,1,1,0,1,1,0,0
158939.5,0.3,0.5,16.32907429,0.5,0.3,Silom,Bang Rak,176,10,1,1,1,0,1,1,0,0
194805.375,0.4,0.8,16.32907429,1.1,0.8,Maha Phruttharam,Bang Rak,1598,8,1,1,1,1,0,0,1,0
161307.0909,0.4,0.6,16.32907429,0.9,0.4,Silom,Bang Rak,219,8,0,1,1,0,1,1,0,0
215962,0.4,1,16.32907429,0.4,0.3,Silom,Bang Rak,77,18,1,0,0,1,1,1,0,0
